기준년도,노드id,노드위치,y좌표,x좌표,노드유형,노드명,위험운전행동회귀계수,교차로규모회귀계수,회귀확산도,교차로위험수준,교차로위험순위,교차로안전등급,교차로참조집단위험수준,권역교차로위험순위,20km이상과속카운트,40km이상과속카운트,60km이상과속카운트,장기과속카운트,급가속카운트,급출발카운트,급감속카운트,급정지카운트,급좌회전카운트,급우회전카운트,급유턴카운트,급앞지르기카운트,급진로변경카운트,공회전기준시간초과카운트,사고카운트
2018,1070035200,서울특별시 성북구,205766.6166,457137.067,101,대한소방안전,0.424729206,0.57107048,0.560021374,0.074822072,58579,C,0.925177928,153,0.3,0.2,0,0,411,82.6,25.3,22.8,6.3,5.3,1.3,1.3,2.8,132.1,1
2018,1100028300,서울특별시 노원구,205783.5443,459854.3284,101,건영옴니백화점앞,0.424729206,0.57107048,0.560021374,-0.610491538,16147,A,0.610491538,34,32.6,5.9,0.9,0,183.6,12.9,14.8,5.8,17.1,14.9,1.9,5.8,2.8,7.5,
2018,1030026700,서울특별시 성동구,205790.8272,451299.6378,101,장한평역_천호대로_진입_1,0.424729206,0.57107048,0.560021374,0.092168286,58719,C,0.907831714,132,144.3,4.1,0.6,0,188.3,15.9,53.9,8.8,23.4,11.8,3.7,67,219.3,8.3,1
2018,1030027100,서울특별시 성동구,205793.7257,451321.9153,101,장한평역_천호대로_진출_1,0.424729206,0.57107048,0.560021374,-1.234022605,6778,A,1.234022605,32,163.1,19.1,1.3,0,200,18.4,111.2,11.4,77.8,27.9,13,141.4,336.3,7.1,
2018,1070035100,서울특별시 성북구,205816.8611,457112.6141,101,석관빗물펌프장,0.424729206,0.57107048,0.560021374,-0.918248729,10412,A,0.918248729,20,1.1,0.1,0,0,611.1,100.8,26.7,22.3,12.4,26.3,4.5,5.6,8.6,11.5,
2018,1100029400,서울특별시 노원구,205819.5794,460167.4116,101,중계근린공원,0.424729206,0.57107048,0.560021374,4.062003522,77341,D,3.937996478,288,253.1,19.9,0.8,0,3780.3,559.5,219.7,40.3,450.3,92.2,10.7,166.6,281,4.9,8
2018,1100025100,서울특별시 노원구,205838.1338,459447.8818,101,하계5-6단지,0.424729206,0.57107048,0.560021374,0.629978372,64462,C,4.370021628,183,55.8,2.8,0.7,0,4365.5,653.8,96.7,51.1,355.5,121.8,10.7,248.8,224.3,2.4,5
2018,1100009900,서울특별시 노원구,205839.3925,462753.004,101,온곡초교입구,0.424729206,0.57107048,0.560021374,0.915093687,68833,C,2.084906313,202,3.1,0.6,0.3,0,1482.4,312.3,71.3,35.8,275.7,147.6,10.3,79.5,30.6,3.8,3
2018,1050033500,서울특별시 동대문구,205844.6403,456214.313,101,열린문교회앞,0.424729206,0.57107048,0.560021374,-0.385872658,23177,A,0.385872658,32,26,0.7,0.1,0,79.8,3.3,10.9,20.3,5.6,39.8,1.4,6,29.6,21.2,
2018,1050002400,서울특별시 동대문구,205850.0382,452570.9023,101,촬영소사거리,0.424729206,0.57107048,0.560021374,1.743313644,73122,C,4.256686356,103,15.9,1.7,1.1,0,4255.5,615.9,122.3,144.3,486.1,189.9,75.8,122.4,104.1,2.3,6
